M z y MLa eta f0
2.0 0.015 0.25 1.6 0.12 0.0001
2.4 0.0225 0.3 1.95 0.21 0.01255
2.5999999999999996 0.01875 0.275 1.775 0.255 0.018775
2.2 0.02625 0.32499999999999996 2.125 0.16499999999999998 0.006325000000000001
2.3 0.020624999999999998 0.3125 2.2125 0.1875 0.0032125
2.6999999999999997 0.028124999999999997 0.2625 1.8625 0.27749999999999997 0.015662500000000003
2.5 0.016875 0.33749999999999997 2.0375 0.23249999999999998 0.0218875
2.1 0.024375 0.2875 1.6875 0.1425 0.0094375
2.15 0.0196875 0.34375 1.90625 0.22125 0.007881250000000001
2.55 0.0271875 0.29375 2.2562499999999996 0.13125 0.020331250000000002
2.75 0.0159375 0.31875 1.73125 0.17625 0.01410625
2.35 0.0234375 0.26875 2.08125 0.26625 0.0016562500000000002
2.25 0.0178125 0.28125 1.99375 0.28874999999999995 0.01099375
2.65 0.025312499999999998 0.33125 1.64375 0.19874999999999998 0.023443750000000003
2.4499999999999997 0.0215625 0.25625 2.1687499999999997 0.15375 0.01721875
2.05 0.029062499999999998 0.30624999999999997 1.81875 0.24375 0.00476875
2.075 0.02203125 0.296875 2.0593749999999997 0.170625 0.024221875
2.4749999999999996 0.02953125 0.346875 1.709375 0.260625 0.011771875000000001
2.675 0.01828125 0.271875 2.234375 0.215625 0.005546875000000001
2.275 0.02578125 0.32187499999999997 1.884375 0.125625 0.017996875000000002
2.375 0.01640625 0.334375 1.796875 0.148125 0.021109375
2.775 0.023906249999999997 0.284375 2.1468749999999996 0.23812499999999998 0.008659375
2.5749999999999997 0.02015625 0.30937499999999996 1.6218750000000002 0.28312499999999996 0.002434375
2.175 0.02765625 0.259375 1.9718749999999998 0.193125 0.014884375
2.125 0.017343749999999998 0.303125 2.190625 0.271875 0.016440625
2.525 0.024843749999999998 0.253125 1.840625 0.181875 0.003990625
2.7249999999999996 0.02109375 0.328125 2.015625 0.136875 0.010215625
2.325 0.02859375 0.278125 1.6656250000000001 0.226875 0.022665625000000002
2.225 0.01921875 0.265625 1.753125 0.24937499999999999 0.013328125
2.625 0.02671875 0.315625 2.103125 0.159375 0.0008781250000000001
